Country Name;Country Code;Series Name;Series Code;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Afghanistan;AFG;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;1.815.768;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.174.112;;;;
Afghanistan;AFG;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108.803.192.881.436;112.642.035.791.202;109.023.547.033.207;116.735.968.469.481;119.385.279.914.084;132.147.759.508.689;133.559.144.856.962;157.602.987.047.289;166.280.352.555.541;171.258.871.978.343;18.992.995.585.028;187.619.087.871.942;184.402.150.309.871;
Afghanistan;AFG;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Albania;ALB;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.871.297;;;;;;;9.593.864;;;968.453;9.724.696;;;
Albania;ALB;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;430.336.024.559.579;304.835.961.466.205;284.608.514.284.043;313.840.045.989.516;341.981.698.166.387;389.866.058.350.213;427.995.662.355.946;384.004.293.568.924;421.241.366.508.775;48.115.164.863.943;516.509.744.636.598;562.779.140.604.009;58.835.410.811.231;624.655.453.497.537;663.085.971.499.293;704.616.873.314.293;747.586.464.941.252;797.699.711.227.808;864.373.828.338.542;899.370.781.832.634;937.379.638.280.634;964.010.024.460.245;979.145.380.245.649;991.081.005.746.821;101.359.883.535.991;
Albania;ALB;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.01;;;;;;32.46;;;30.6;;;29.98;;;;28.96;;;
Algeria;DZA;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;4.963.089;;;;;;;;;;;;;;;698.735;;;;7.264.868;;;;;;;;;
Algeria;DZA;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;102.890.186.770.242;991.981.224.111.009;986.555.569.830.408;944.806.206.831.882;917.286.489.251.925;934.279.790.614.977;955.802.042.034.076;950.929.996.168.909;984.630.096.937.588;100.194.737.206.901;101.029.351.218.688;104.328.815.610.803;108.793.444.333.055;115.170.313.727.936;118.576.727.277.262;123.871.688.276.729;124.180.412.321.048;126.481.329.763.404;126.976.017.748.931;126.854.926.274.576;129.108.408.740.307;13.026.191.661.295;13.196.455.774.601;133.006.820.257.037;135.407.967.110.396;
Algeria;DZA;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.33;;;;;;;;;;;;;;;;;;;;
American Samoa;ASM;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;9.734.416;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Samoa;ASM;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
American Samoa;ASM;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;ADO;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;ADO;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andorra;ADO;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;AGO;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.740.542;;;;;;;;;;;;7.077.841;;
Angola;AGO;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;694.902.184.841.534;;;;
Angola;AGO;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.96;;;;;;;;42.72;;;;;;;
Antigua and Barbuda;ATG;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98.95;;;;;;;;;;;;98.95;;
Antigua and Barbuda;ATG;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;171.537.222.561.275;173.611.423.788.361;172.263.156.035.979;177.534.929.747.443;183.997.686.409.406;171.671.753.221.645;178.295.755.058.978;18.186.270.532.929;184.827.541.043.438;187.801.363.155.741;193.187.184.940.307;183.880.908.848.909;18.675.604.950.807;195.663.293.762.526;203.954.825.388.482;214.142.296.934.271;240.163.111.357.078;260.078.246.843.426;257.357.147.540.152;223.889.568.647.272;205.673.593.439.683;199.879.241.389.288;20.577.292.106.724;202.973.002.552.013;210.618.678.631.024;
Antigua and Barbuda;ATG;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;5.453.756;;;;;;;;;;6.594.879;;;;;;;;;;7.695.204;;;;;
Arab World;ARB;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;100.735.384.968.228;957.437.509.269.216;989.090.688.557.594;100.066.010.991.473;100.666.743.174.088;100.372.558.525.146;10.296.278.532.577;105.612.900.459.774;109.387.498.700.021;110.850.479.769.149;113.625.298.458.993;114.050.064.456.148;113.254.465.216.561;114.625.308.987.606;12.287.159.538.791;127.365.166.754.557;133.091.581.441.089;137.201.176.652.738;142.410.177.758.554;14.182.838.282.848;145.072.828.973.921;145.791.470.140.092;15.179.341.948.313;15.273.548.800.137;152.480.843.670.811;
Arab World;ARB;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;9.391.286;;;;;;;;;;;961.282;;;;;;;;;;9.719.331;;;;;;;;;;;;9.797.376;;
Argentina;ARG;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;ARG;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;42.79;45.28;;;;46.76;45.47;44.86;45.92;48.9;49.52;49.11;50.73;49.79;51.06;53.34;53.79;53.54;50.18;49.27;48.26;47.37;46.27;45.27;44.5;43.57;42.49;42.28;;
Armenia;ARM;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;9.875.197;;;;;;;;;;;;9.940.015;;;;;;;;;;9.974.442;;;;
Armenia;ARM;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;373.554.309.173.336;332.927.530.444.979;197.269.764.848.653;18.417.190.676.796;198.821.520.736.432;216.943.102.785.618;233.268.056.367.768;243.762.935.646.148;263.632.474.553.976;274.016.961.493.054;291.855.768.574.024;321.425.718.572.495;365.336.514.796.389;418.118.532.729.791;463.479.778.023.027;529.681.412.795.942;602.136.400.655.323;688.144.465.235.369;738.862.663.569.694;636.221.471.000.965;65.079.144.023.801;680.348.299.708.481;726.797.652.826.463;747.306.067.839.472;769.869.458.138.754;
Armenia;ARM;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.42;;;36.22;;35.37;34.78;33.03;37.51;35.99;32.49;29.83;30.71;29.58;31.07;31.32;30.48;31.54;;
Aruba;ABW;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.729.125;;;;;;;;;;9.682.264;;;;;
Aruba;ABW;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.015.070.459.561;;;;
Aruba;ABW;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;AUS;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;285.720.755.598.982;281.030.473.820.132;27.874.888.829.139;287.242.478.747.763;295.694.599.076.284;303.476.424.052.474;311.343.653.183.496;320.033.057.614.551;330.771.457.803.702;343.387.783.063.679;352.445.026.289.505;354.433.653.791.561;36.363.742.527.246;370.207.349.419.014;381.124.352.098.016;388.188.419.166.187;393.913.380.706.454;406.170.099.438.609;412.868.173.882.081;411.805.479.920.261;41.363.215.880.878;41.763.118.511.715;425.409.691.934.198;428.454.913.183.772;43.256.481.809.907;
Australia;AUS;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;31.33;;;;32.5;;;;33.15;;;;;;33.72;;;;;;34.14;;34.01;;;;;35.63;;34.94;;;;;
Austria;AUT;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Austria;AUT;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;311.129.361.445.595;318.639.980.885.062;32.175.020.133.355;320.788.959.468.092;32.723.284.498.355;335.449.376.483.643;343.031.034.081.698;350.197.878.474.002;362.267.079.173.283;374.542.990.914.653;386.229.255.788.306;389.949.757.960.001;394.461.306.032.773;395.512.674.466.475;403.701.826.602.999;40.954.418.533.723;421.178.175.821.738;435.018.801.125.058;440.368.992.354.433;422.530.760.082.098;429.645.910.284.562;440.223.952.746.168;441.540.088.845.317;440.378.743.203.603;43.849.472.727.211;
Austria;AUT;GINI index ;SI.POV.GINI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.87;28.72;29.59;30.58;30.45;31.5;30.25;30.8;30.48;;;
Azerbaijan;AZE;Literacy;SE.ADT.LITR.ZS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;987.918;;;;;;;;9.960.191;;9.975.984;9.977.114;9.977.863;9.977.577;9.978.936;9.978.899;
Azerbaijan;AZE;GDP per capita;NY.GDP.PCAP.PP.KD;;;;;;;;;;;;;;;;;;;;;;;;851.331.069.277.994;832.349.934.468.511;63.455.169.997.564;480.613.270.233.044;380.750.790.708.691;331.976.734.895.474;332.913.480.415.802;348.841.002.547.603;380.100.252.072.188;40.466.074.672.842;445.899.842.303.434;48.626.190.309.313;533.807.631.838.764;589.113.710.833.521;643.544.812.947.118;805.167.483.806.248;107.111.822.716.451;132.432.128.559.113;143.649.942.336.723;153.938.932.908.055;159.502.574.578.784;157.541.523.626.148;158.882.179.950.886;165.931.887.600.482;167.151.055.213.058;
